id,name,canopy_percentage,total_area (km2),area_with_canopy (km2)
860,Arnavutköy Merkez Mahallesi,71,6.77,4.84
861,Hasanlı Mahallesi,72,11.84,8.49
862,Heybeliada Mahallesi,72,2.50,1.80
863,Cumhuriyet Mahallesi,72,10.59,7.63
864,Göktürk Merkez Mahallesi,72,27.28,19.68
865,Mudarlı Mahallesi,72,51.91,37.50
866,Sırapınar Mahallesi,72,9.12,6.60
867,Alacalı Mahallesi,73,17.45,12.66
868,Nizam Mahallesi,73,3.22,2.34
869,Çamlıtepe Mahallesi,73,1.46,1.06
870,Karakiraz Mahallesi,73,20.13,14.74
871,Kalem Mahallesi,73,19.36,14.23
872,Kocataş Mahallesi,74,2.01,1.48
873,Avcıkoru Mahallesi,74,19.77,14.63
874,Karacaköy Mahallesi,74,7.70,5.70
875,Ovacık Mahallesi,74,32.57,24.13
876,Çatalmeşe Mahallesi,74,5.67,4.21
877,İmrendere Mahallesi,75,10.20,7.66
878,Rumelifeneri Mahallesi,75,12.64,9.53
879,Üvezli Mahallesi,75,16.20,12.22
880,Poyrazköy Mahallesi,76,8.55,6.46
881,Demirciköy Mahallesi,76,11.18,8.48
882,İshaklı Mahallesi,76,12.34,9.37
883,Kervansaray Mahallesi,76,39.38,30.05
884,Doğancılı Mahallesi,77,15.39,11.78
885,İmrenli Mahallesi,77,8.70,6.66
886,Paşamandıra Mahallesi,77,12.06,9.28
887,Yaka Mahallesi,77,19.54,15.04
888,Gökmaşlı Mahallesi,77,5.17,3.99
889,Mithatpaşa Mahallesi,78,49.58,38.50
890,Zerzavatçı Mahallesi,78,3.48,2.70
891,Akçakese Mahallesi,78,7.70,5.99
892,Mahmutşevketpaşa Mahallesi,78,16.08,12.52
893,Fatih Mahallesi,78,3.61,2.82
894,Soğullu Mahallesi,79,17.39,13.67
895,Sofular Mahallesi,79,15.98,12.57
896,Tepemanayır Mahallesi,79,11.87,9.40
897,Bahçeköy Yeni Mahalle,80,1.50,1.19
898,Aydınlar Mahallesi,80,35.64,28.67
899,Karacaköy Merkez Mahallesi,81,67.71,54.56
900,Ovacık Mahallesi,81,8.10,6.56
901,Öğümce Mahallesi,81,10.60,8.60
902,Sayalar Mahallesi,81,43.21,35.06
903,Korucu Mahallesi,82,4.14,3.37
904,Çengilli Mahallesi,82,12.77,10.44
905,Çataklı Mahallesi,82,17.82,14.57
906,Kızılcaköy Mahallesi,82,22.80,18.67
907,Kalfa Mahallesi,82,26.06,21.37
908,Belgrat Mahallesi,82,27.59,22.69
909,Kabakoz Mahallesi,82,18.74,15.41
910,Teke Mahallesi,82,36.02,29.64
911,Alemdağ Mahallesi,83,9.03,7.46
912,Akbaba Mahallesi,83,4.49,3.72
913,Osmanköy Mahallesi,83,10.89,9.03
914,İhsaniye Mahallesi,83,64.87,53.92
915,Anadolu Kavağı Mahallesi,83,5.24,4.36
916,Satmazlı Mahallesi,83,8.43,7.02
917,Rumelikavağı Mahallesi,84,4.59,3.84
918,Danamandıra Mahallesi,84,45.24,37.88
919,Darlık Mahallesi,84,17.76,14.93
920,Kaynarca Mahallesi,85,5.55,4.70
921,Hacıllı Mahallesi,85,15.14,12.84
922,Göksu Mahallesi,85,22.86,19.45
923,Yazımanayır Mahallesi,85,13.31,11.34
924,Oruçoğlu Mahallesi,85,21.99,18.77
925,Yalıköy Mahallesi,85,80.54,68.78
926,Bıçkıdere Mahallesi,86,9.82,8.41
927,Ağaçdere Mahallesi,86,6.65,5.71
928,Yaylacık Mahallesi,86,4.97,4.27
929,Dereseki Mahallesi,86,8.75,7.52
930,Kılıçlı Mahallesi,86,16.87,14.53
931,Gümüşpınar Mahallesi,86,32.64,28.12
932,PTT Evleri Mahallesi,86,4.45,3.84
933,Kazım Karabekir Paşa Mahallesi,86,5.23,4.51
934,Bozgoca Mahallesi,86,4.07,3.52
935,Kömürlük Mahallesi,87,11.20,9.78
936,Yaylalı Mahallesi,88,7.64,6.71
937,Küçük Sinekli Mahallesi,88,26.49,23.29
938,Sortullu Mahallesi,88,6.49,5.72
939,Reşadiye Mahallesi,89,19.41,17.36
940,Yeşilvadi Mahallesi,89,16.14,14.44
941,Karamandere Mahallesi,90,28.90,25.98
942,Bozhane Mahallesi,90,14.38,12.96
943,Karabeyli Mahallesi,91,12.06,11.01
944,Karamandere Mahallesi,92,11.50,10.55
945,Yeniköy Mahallesi,92,22.00,20.20
946,Fatih Mahallesi,92,169.36,155.86
947,Ulupelit Mahallesi,92,14.29,13.18
948,Bahçeköy Kemer Mahallesi,93,14.84,13.85
949,Erenler Mahallesi,94,15.26,14.28
950,Bahçeköy Merkez Mahallesi,96,11.89,11.44
951,Polonezköy Mahallesi,96,29.30,28.18
