id,name,canopy_percentage,total_area (km2),area_with_canopy (km2)
450,Hacıahmet Mahallesi,20,0.33,0.07
451,Alemdar Mahallesi,20,0.14,0.03
452,Eyüp Sultan Mahallesi,20,6.22,1.25
453,Bedrettin Mahallesi,20,0.24,0.05
454,Orhangazi Mahallesi,20,1.06,0.22
455,Çınardere Mahallesi,20,1.16,0.24
456,Osmangazi Mahallesi,20,3.62,0.74
457,Molla Fenari Mahallesi,20,0.15,0.03
458,Fevzi Çakmak Mahallesi,20,0.60,0.12
459,Soğukpınar Mahallesi,21,0.62,0.13
460,Topçular Mahallesi,21,1.65,0.34
461,Mevlanakapı Mahallesi,21,0.50,0.10
462,Bulgurlu Mahallesi,21,0.89,0.18
463,Baklalı Mahallesi,21,17.64,3.64
464,Muradiye Mahallesi,21,0.08,0.02
465,Merkez Mahallesi,21,2.06,0.43
466,Kemer Mahallesi,21,0.75,0.16
467,Küçük Ayasofya Mahallesi,21,0.25,0.05
468,Yunus Mahallesi,21,1.35,0.28
469,Ünalan Mahallesi,21,1.53,0.32
470,Yayla Mahallesi,21,0.24,0.05
471,Aşağı Dudullu Mahallesi,21,0.98,0.20
472,Cihangir Mahallesi,21,0.11,0.02
473,İskenderpaşa Mahallesi,21,0.42,0.09
474,Yedikule Mahallesi,21,0.81,0.17
475,Kaptanpaşa Mahallesi,21,0.41,0.09
476,Mehmet Akif Ersoy Mahallesi,21,0.58,0.12
477,Necip Fazıl Mahallesi,21,1.74,0.37
478,Seyitnizam Mahallesi,21,1.25,0.26
479,Saraç İshak Mahallesi,21,0.07,0.01
480,Tayakadın Mahallesi,21,35.17,7.43
481,Kordonboyu Mahallesi,21,1.91,0.40
482,Yıldıztabya Mahallesi,21,0.70,0.15
483,Ferahevler Mahallesi,21,1.25,0.27
484,Denizköşkler Mahallesi,21,1.69,0.36
485,Yeni Mahallesi,21,0.78,0.17
486,Emekyemez Mahallesi,21,0.06,0.01
487,Hasanpaşa Mahallesi,21,0.90,0.19
488,Esatpaşa Mahallesi,21,0.98,0.21
489,Yenişehir Mahallesi,22,0.82,0.18
490,Safa Mahallesi,22,0.85,0.19
491,Atalar Mahallesi,22,1.11,0.24
492,Şehremini Mahallesi,22,0.47,0.10
493,Dizdariye Mahallesi,22,0.55,0.12
494,Zeyrek Mahallesi,22,0.31,0.07
495,Pazariçi Mahallesi,22,0.29,0.06
496,Kemal Türkler Mahallesi,22,0.76,0.17
497,Güzeltepe Mahallesi,22,1.63,0.36
498,Hürriyet Mahallesi,22,2.57,0.57
499,Adem Yavuz Mahallesi,22,0.75,0.17
500,Feyzullah Mahallesi,22,0.82,0.18
501,Fatih Mahallesi,22,1.50,0.34
502,Yayalar Mahallesi,22,1.47,0.33
503,Sülüntepe Mahallesi,23,1.38,0.31
504,Demirtaş Mahallesi,23,0.08,0.02
505,Tantavi Mahallesi,23,0.56,0.13
506,Altınşehir Mahallesi,23,1.36,0.31
507,Murat Çesme Mahallesi,23,2.43,0.55
508,Yalı Mahallesi,23,0.53,0.12
509,Kılıçali Paşa Mahallesi,23,0.24,0.06
510,Seyyid Ömer Mahallesi,23,0.47,0.11
511,Cevatpaşa Mahallesi,23,0.59,0.13
512,Valide-i Atik Mahallesi,23,0.42,0.10
513,Hacı Kasım Mahallesi,23,0.21,0.05
514,Yeni Çamlıca Mahallesi,23,0.74,0.17
515,Nurtepe Mahallesi,23,0.78,0.18
516,Yavuztürk Mahallesi,23,1.77,0.40
517,Mevlana Mahallesi,23,0.98,0.22
518,İdealtepe Mahallesi,23,1.25,0.29
519,Cebeci Mahallesi,23,10.87,2.52
520,Sapan Bağları Mahallesi,23,0.50,0.12
521,Atakent Mahallesi,23,0.95,0.22
522,Selimiye Mahallesi,23,1.65,0.39
523,Haseki Sultan Mahallesi,23,0.29,0.07
524,Pınar Mahallesi,23,0.76,0.18
525,Yeşilyurt Mahallesi,24,1.58,0.37
526,Çavuşoğlu Mahallesi,24,1.38,0.33
527,Dikilitaş Mahallesi,24,0.64,0.15
528,Yunus Emre Mahallesi,24,1.22,0.29
529,Ambarlı Mahallesi,24,1.92,0.45
530,Kaptanpaşa Mahallesi,24,0.27,0.06
531,Hasanpaşa Mahallesi,24,0.81,0.19
532,Müeyyedzade Mahallesi,24,0.07,0.02
533,Halil Rıfat Paşa Mahallesi,24,0.43,0.10
534,Sururi Mehmet Efendi Mahallesi,24,0.11,0.03
535,Zühtüpaşa Mahallesi,24,0.66,0.16
536,Madenler Mahallesi,24,0.81,0.19
537,Merdivenköy Mahallesi,24,1.68,0.41
538,İstinye Mahallesi,24,1.26,0.31
539,15 Temmuz Mahallesi,24,1.88,0.46
540,Yavuz Sultan Selim Mahallesi,24,0.35,0.09
541,Mevlana Mahallesi,25,0.80,0.20
542,Silahtarağa Mahallesi,25,0.31,0.08
543,Atakent Mahallesi,25,8.48,2.09
544,Silivrikapı Mahallesi,25,0.31,0.08
545,Sütlüce Mahallesi,25,0.68,0.17
546,Cumhuriyet Mahallesi,25,0.37,0.09
547,Halıcıoğlu Mahallesi,25,0.40,0.10
548,Atatürk Mahallesi,25,2.52,0.62
549,Dumlupınar Mahallesi,25,1.42,0.35
550,Doğu Mahallesi,25,1.16,0.29
551,Meclis Mahallesi,25,1.00,0.25
552,Abbasağa Mahallesi,25,0.14,0.04
553,Yenidoğan Mahallesi,25,1.03,0.26
554,Aydınlar Mahallesi,25,0.65,0.16
555,Molla Hüsrev Mahallesi,25,0.09,0.02
556,Rasimpaşa Mahallesi,25,0.86,0.22
557,Çırçır Mahallesi,25,1.04,0.26
558,Fatih Sultan Mehmet Mahallesi,25,1.09,0.28
559,Çeltik Mahallesi,25,33.36,8.41
560,Camiikebir Mahallesi,26,0.43,0.11
561,Fetih Mahallesi,26,0.42,0.11
562,Şehsuvar Bey Mahallesi,26,0.15,0.04
563,Hamidiye Mahallesi,26,3.08,0.80
564,Hoca Gıyasettin Mahallesi,26,0.09,0.02
565,Gürpınar Mahallesi,26,2.56,0.66
566,Emniyettepe Mahallesi,26,0.74,0.19
567,Akşemsettin Mahallesi,26,1.34,0.35
568,Molla Gürani Mahallesi,26,0.40,0.10
569,Cumhuriyet Mahallesi,26,0.73,0.19
570,Düğmeciler Mahallesi,26,0.48,0.13
571,Yukarı Mahallesi,26,0.32,0.08
572,Alibeyköy Mahallesi,26,0.91,0.24
573,Karadolap Mahallesi,26,1.11,0.29
574,Batı Mahallesi,27,1.22,0.32
575,İstiklal Mahallesi,27,0.26,0.07
576,Sarıgazi Mahallesi,27,1.23,0.33
577,Balat Mahallesi,27,0.40,0.11
578,Emek Mahallesi,27,1.84,0.49
579,Muratreis Mahallesi,27,0.38,0.10
580,Şenlikköy Mahallesi,27,3.03,0.81
581,İslambey Mahallesi,27,0.54,0.15
582,Çamlık Mahallesi,27,3.25,0.88
583,Gülsuyu Mahallesi,27,0.91,0.25
584,Atatürk Mahallesi,27,1.24,0.34
585,Eğitim Mahallesi,27,0.96,0.26
586,Türkali Mahallesi,27,0.23,0.06
587,Mimaroba Mahallesi,27,1.35,0.37
588,Battalgazi Mahallesi,27,3.72,1.01
589,Piri Paşa Mahallesi,27,0.49,0.13
590,Velibaba Mahallesi,27,3.38,0.92
591,Mecidiye Mahallesi,27,1.81,0.50
592,Küçüksu Mahallesi,27,1.62,0.45
593,Bahçelievler Mahallesi,28,1.58,0.44
594,Tomtom Mahallesi,28,0.14,0.04
595,Gümüşsuyu Mahallesi,28,0.36,0.10
596,Cibali Mahallesi,28,0.28,0.08
597,Abdurrahman Nafiz Gürman Mahallesi,28,0.67,0.19
598,Kirazlıdere Mahallesi,28,0.70,0.20
599,Ömer Avni Mahallesi,28,0.25,0.07
600,Petrol İş Mahallesi,28,1.07,0.30
601,Bostancı Mahallesi,28,1.77,0.50
602,Gümüşpınar Mahallesi,28,1.16,0.33
603,Teşvikiye Mahallesi,28,0.45,0.13
604,Cemil Meriç Mahallesi,28,1.64,0.47
605,Dumlupınar Mahallesi,29,1.00,0.29
606,Ardıçlı Mahallesi,29,1.15,0.33
607,Topkapı Mahallesi,29,0.69,0.20
608,Sinanoba Mahallesi,29,1.60,0.47
609,Gülensu Mahallesi,29,0.91,0.27
610,İnkılap Mahallesi,29,3.20,0.94
611,Cumhuriyet Mahallesi,29,0.47,0.14
612,Bahçelievler Mahallesi,30,3.22,0.96
613,Ataköy 1. Kısım Mahallesi,30,0.70,0.21
614,Mehmet Akif Mahallesi,30,0.85,0.26
615,Kozyatağı Mahallesi,30,1.44,0.44
616,Çayırbaşı Mahallesi,30,0.48,0.15
617,Fatih Mahallesi,30,3.57,1.08
618,Osmanağa Mahallesi,30,0.54,0.16
619,Merkezefendi Mahallesi,30,1.34,0.40
620,Üniversite Mahallesi,30,2.82,0.85
621,Büyükşehir Mahallesi,30,0.95,0.29
622,Sahrayıcedit Mahallesi,31,1.35,0.41
623,Kavacık Mahallesi,31,1.62,0.50
624,Sakarya Mahallesi,31,0.44,0.14
625,Ayvansaray Mahallesi,31,0.62,0.19
626,Suadiye Mahallesi,31,1.49,0.46
627,Gayrettepe Mahallesi,31,0.59,0.19
628,Karlıbayır Mahallesi,31,1.29,0.40
629,Kirazlıtepe Mahallesi,31,0.69,0.22
630,Güzeltepe Mahallesi,31,1.02,0.32
631,Kartaltepe Mahallesi,31,1.35,0.42
632,Gökçeali Mahallesi,31,9.09,2.86
633,Kaleiçi Mahallesi,31,23.89,7.51
634,Büyük Kılıçlı Mahallesi,31,22.75,7.16
635,Defterdar Mahallesi,32,0.94,0.30
636,Sultan Ahmet Mahallesi,32,0.20,0.06
637,Acıbadem Mahallesi,32,1.60,0.51
638,Ağaçlı Mahallesi,32,15.54,4.94
639,Nişancı Mahallesi,32,0.66,0.21
640,Binbirdirek Mahallesi,32,0.16,0.05
641,Pürtelaş Hasan Efendi Mahallesi,32,0.11,0.03
642,Küplüce Mahallesi,32,0.86,0.28
643,Yarımburgaz Mahallesi,33,5.22,1.70
644,Kamer Hatun Mahallesi,33,0.06,0.02
645,Ferah Mahallesi,33,1.07,0.35
646,Bolluca Mahallesi,33,11.91,3.94
647,Yenidoğan Mahallesi,33,0.32,0.10
648,Ataköy 2-5-6. Kısım Mahallesi,33,1.23,0.41
649,Hacımimi Mahallesi,33,0.09,0.03
650,İnceğiz Mahallesi,33,24.81,8.24
651,Soğuksu Mahallesi,33,0.94,0.31
652,Habibler Mahallesi,33,6.20,2.07
653,Büyük Çavuşlu Mahallesi,34,52.21,17.51
654,Büyükbakkalköy Mahallesi,34,21.50,7.23
655,Selami Ali Mahallesi,34,0.44,0.15
656,Göztepe Mahallesi,34,1.78,0.60
657,Caferağa Mahallesi,34,1.24,0.42
658,Kurfallı Mahallesi,34,37.27,12.59
659,Yunus Emre Mahallesi,34,1.05,0.36
660,Salacak Mahallesi,34,0.43,0.15
661,Çiftalan Mahallesi,34,18.52,6.31
662,Çifte Havuzlar Mahallesi,34,1.18,0.40
663,Koşuyolu Mahallesi,34,0.70,0.24
664,Durusu Mahallesi,35,0.36,0.12
665,İhsaniye Mahallesi,35,5.05,1.74
666,Şahkulu Mahallesi,35,0.08,0.03
667,Hekimbaşı Mahallesi,35,1.64,0.57
668,Topağacı Mahallesi,35,1.29,0.45
669,Feneryolu Mahallesi,35,1.02,0.35
670,Uğur Mumcu Mahallesi,35,1.76,0.62
671,Acıbadem Mahallesi,35,1.45,0.51
672,Ortaçeşme Mahallesi,35,0.81,0.29
673,Vişnezade Mahallesi,35,0.66,0.23
674,Burhaniye Mahallesi,35,1.55,0.55
675,Bereketzade Mahallesi,35,0.07,0.03
676,Hamidiye Mahallesi,36,1.00,0.36
677,Kalenderhane Mahallesi,36,0.13,0.05
678,Poligon Mahallesi,36,0.91,0.33
679,Orhantepe Mahallesi,36,2.90,1.04
680,Aziz Mahmut Hüdayi Mahallesi,36,0.34,0.12
681,Caddebostan Mahallesi,36,1.67,0.60
682,Beyciler Mahallesi,36,27.99,10.13
683,Çiğdem Mahallesi,36,0.89,0.32
684,Balmumcu Mahallesi,36,0.56,0.20
685,İcadiye Mahallesi,37,0.49,0.18
686,Ahmediye Mahallesi,37,0.23,0.08
687,Yalıköy Mahallesi,37,1.02,0.38
688,Esenkent Mahallesi,37,1.22,0.45
689,Mimar Sinan Mahallesi,38,1.30,0.49
690,Ihlamurkuyu Mahallesi,38,1.37,0.52
691,5. Levent Mahallesi,38,8.17,3.11
692,Fenerbahçe Mahallesi,38,1.69,0.64
693,Süleymaniye Mahallesi,38,0.29,0.11
694,Riva Mahallesi,38,22.55,8.62
695,Seymen Mahallesi,38,50.39,19.26
696,Baltalimanı Mahallesi,38,0.89,0.34
697,Erenköy Mahallesi,38,1.35,0.52
